Country,ConvertedCompYearly,YearsCode,Job_Level,JobSat,RemoteWork,Industry,OrgSize,OrgSize_Category,Employment,DevType,EdLevel,Age
United States of America,160000,30,Senior,8,Remote,Insurance,10000+,Large,Employed,Developer,Secondary school ,35-44
United Kingdom of Great Britain and Northern Ireland,98022,8,Mid,6,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Secondary school ,35-44
Spain,46116,4,Mid,6,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Germany,69609,40,Senior,10,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Masters,55-64
France,102093,19,Senior,9,Remote,Other,20 - 99 ,Small,Employed,Architect,Masters,25-34 
Portugal,109054,24,Senior,10,Remote,Software Development,<20,Small,Employed,Architect,Some college,35-44
United States of America,200000,16,Senior,5,Remote,Media Services,5000 - 9999,Large,Employed,Data/AI,Masters,25-34 
United States of America,200000,30,Senior,6,In-person,Other,10000+,Large,Employed,Developer,Bachelors,35-44
United States of America,140000,24,Senior,7,Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
France,60908,35,Senior,9,Remote,Software Development,500 - 999,Medium,Employed,Developer,Professional,55-64
United States of America,150000,20,Senior,9,Remote,Government,10000+,Large,Employed,Developer,Bachelors,45-54 
India,63932,22,Senior,5,Hybrid-InPerson,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United States of America,120000,14,Mid,10,Flexible,Other,10000+,Large,Employed,Other,Bachelors,25-34 
United States of America,95000,14,Mid,8,Hybrid-InPerson,Supply Chain,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
France,48726,9,Mid,7,In-person,Computer System Services,10000+,Large,Employed,Developer,Masters,25-34 
Italy,47566,20,Senior,3,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Secondary school ,25-34 
United States of America,122000,12,Mid,6,Hybrid-InPerson,Retail Services,20 - 99 ,Small,Employed,Developer,Some college,35-44
France,51046,8,Mid,7,Hybrid-Flexible,Software Development,<20,Small,Employed,Data/AI,Masters,25-34 
Ukraine,60000,31,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
United Kingdom of Great Britain and Northern Ireland,140906,31,Senior,7,Remote,Other,<20,Small,Employed,Other,Professional,35-44
Germany,104413,20,Senior,5,Remote,Software Development,10000+,Large,Employed,Developer,Masters,45-54 
Germany,52207,8,Mid,7,Hybrid-Flexible,Retail Services,5000 - 9999,Large,Employed,Developer,Secondary school ,25-34 
Ukraine,4793,13,Mid,9,Remote,Fintech,100 - 499,Medium,Employed,Developer,Masters,25-34 
Poland,207403,10,Mid,9,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Bachelors,25-34 
El Salvador,27000,12,Mid,7,Remote,Healthcare,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Ireland,92812,12,Mid,6,In-person,Other,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,48000,60,Senior,8,Remote,Telecomm  Services,1,Small,Self-employed,Research,Masters,65+
United States of America,173250,45,Senior,8,In-person,Retail Services,1000 - 4999,Medium,Employed,Developer,Masters,55-64
United States of America,150000,13,Mid,8,Remote,Fintech,<20,Small,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,53309,10,Mid,5,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,145000,18,Senior,6,Flexible,Manufacturing,10000+,Large,Employed,Developer,Bachelors,35-44
Panama,72000,12,Mid,7,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Bachelors,25-34 
Ukraine,27844,3,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Data/AI,Bachelors,18-24
Poland,32748,7,Mid,9,Remote,Government,500 - 999,Medium,Employed,Data/AI,Masters,25-34 
Ukraine,33552715,27,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
Ukraine,575,4,Mid,9,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Brazil,5461,2,Junior,8,In-person,Software Development,100 - 499,Medium,Employed,Developer,Secondary school ,25-34 
United States of America,185000,48,Senior,10,Remote,Energy,100 - 499,Medium,Employed,Developer,Some college,65+
United Kingdom of Great Britain and Northern Ireland,95299,20,Senior,7,Hybrid-Flexible,Telecomm  Services,10000+,Large,Employed,Developer,Bachelors,35-44
Spain,99773,22,Senior,8,Hybrid-Flexible,Fintech,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
Canada,182396,30,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Some college,45-54 
United States of America,145000,20,Senior,8,In-person,Fintech,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,105000,15,Mid,7,Hybrid-InPerson,Insurance,<20,Small,Employed,Developer,Bachelors,25-34 
France,38285,20,Senior,7,Hybrid-InPerson,Healthcare,100 - 499,Medium,Employed,Research,Masters,35-44
Ukraine,20132,4,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Masters,18-24
United States of America,80000,15,Mid,7,Remote,Software Development,<20,Small,Employed,Developer,Some college,35-44
United States of America,200000,28,Senior,8,In-person,Retail Services,1000 - 4999,Medium,Employed,Developer,Masters,45-54 
Brazil,39320,25,Senior,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
Norway,64238,32,Senior,7,Flexible,Computer System Services,<20,Small,Employed,Developer,Secondary school ,45-54 
United States of America,160000,15,Mid,10,In-person,Banking Services,1000 - 4999,Medium,Employed,Manager,Bachelors,35-44
United States of America,500000,13,Mid,8,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Chile,85,9,Mid,7,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,140000,27,Senior,9,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,35-44
United States of America,80000,11,Mid,9,In-person,Higher Education,20 - 99 ,Small,Employed,Data/AI,Bachelors,35-44
Ukraine,69502,4,Mid,9,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Estonia,116015,13,Mid,6,Hybrid-InPerson,Supply Chain,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United States of America,600000,15,Mid,6,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Madagascar,1740,14,Mid,6,Remote,Software Development,<20,Small,Self-employed,Developer,Masters,25-34 
United States of America,130000,15,Mid,8,Hybrid-Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
United Kingdom of Great Britain and Northern Ireland,163370,30,Senior,5,Remote,Telecomm  Services,100 - 499,Medium,Employed,Developer,Masters,45-54 
India,54324,18,Senior,10,Remote,Higher Education,500 - 999,Medium,Employed,Data/AI,Bachelors,35-44
United States of America,178000,15,Mid,4,Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Canada,54719,9,Mid,6,Hybrid-InPerson,Telecomm  Services,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Ukraine,15338,11,Mid,7,Remote,Media Services,<20,Small,Self-employed,Developer,Masters,35-44
Israel,176485,12,Mid,7,Hybrid-Flexible,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,35-44
Poland,83531,6,Mid,2,Remote,Software Development,100 - 499,Medium,Self-employed,Developer,Bachelors,35-44
United States of America,104000,33,Senior,6,Remote,Healthcare,10000+,Large,Employed,Developer,Bachelors,35-44
India,442,5,Mid,7,In-person,Software Development,100 - 499,Medium,Employed,Developer,Some college,25-34 
United Kingdom of Great Britain and Northern Ireland,108913,22,Senior,8,Hybrid-Flexible,Media Services,20 - 99 ,Small,Employed,Data/AI,Bachelors,35-44
Ukraine,54000,13,Mid,9,Remote,Banking Services,10000+,Large,Employed,Developer,Professional,25-34 
Ukraine,2972,5,Mid,7,Hybrid-InPerson,Telecomm  Services,<20,Small,Employed,Developer,Masters,35-44
United States of America,110000,9,Mid,8,Hybrid-Flexible,Other,5000 - 9999,Large,Employed,Developer,Masters,18-24
Germany,67289,22,Senior,6,Hybrid-Flexible,Retail Services,1000 - 4999,Medium,Employed,Data/AI,Masters,35-44
United States of America,160000,24,Senior,7,Remote,Other,1000 - 4999,Medium,Employed,Developer,Masters,35-44
United States of America,300000,14,Mid,7,In-person,Software Development,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,115000,19,Senior,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,210000,21,Senior,8,Remote,Insurance,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,200000,34,Senior,7,Hybrid-InPerson,Software Development,5000 - 9999,Large,Employed,Developer,Masters,45-54 
Norway,64505,10,Mid,5,Flexible,Other,20 - 99 ,Small,Employed,Developer,Some college,25-34 
United Kingdom of Great Britain and Northern Ireland,680707,47,Senior,3,Hybrid-InPerson,Banking Services,10000+,Large,Employed,Architect,Some college,55-64
United States of America,115000,13,Mid,3,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Ukraine,40263,7,Mid,10,Hybrid-Flexible,Healthcare,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Guatemala,30000,15,Mid,7,Hybrid-Flexible,Healthcare,<20,Small,Employed,Developer,Bachelors,35-44
India,30222,13,Mid,9,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Bachelors,25-34 
Ukraine,17256,7,Mid,6,Remote,Software Development,10000+,Large,Employed,Developer,Professional,25-34 
United States of America,62000,6,Mid,8,Hybrid-Flexible,Software Development,1,Small,Self-employed,Founder,Bachelors,18-24
United States of America,130000,49,Senior,8,Hybrid-Flexible,Other,10000+,Large,Employed,Developer,Bachelors,65+
United States of America,140000,25,Senior,8,Flexible,Software Development,1000 - 4999,Medium,Self-employed,Founder,Bachelors,55-64
United States of America,66500,10,Mid,2,Hybrid-Flexible,Government,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Ukraine,38346,8,Mid,6,Remote,Retail Services,500 - 999,Medium,Employed,Developer,Masters,25-34 
Germany,56847,15,Mid,6,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Ukraine,100000,14,Mid,8,Hybrid-Flexible,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
Ukraine,32786,5,Mid,10,Remote,Fintech,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,150000,13,Mid,6,Remote,Software Development,1,Small,Self-employed,Developer,Masters,35-44
Nigeria,1291,4,Mid,7,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,25-34 
United States of America,100200,7,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
France,58007,15,Mid,2,Hybrid-InPerson,Media Services,5000 - 9999,Large,Employed,Data/AI,Masters,25-34 
Austria,57079,6,Mid,6,Hybrid-InPerson,Software Development,100 - 499,Medium,Employed,Developer,Masters,18-24
India,11624,12,Mid,10,Remote,Software Development,1,Small,Self-employed,Developer,Some college,25-34 
United States of America,96000,5,Mid,10,In-person,Software Development,<20,Small,Employed,Founder,Bachelors,25-34 
Chile,5089,6,Mid,6,In-person,Higher Education,1,Small,Employed,Developer,Associate,25-34 
Denmark,139968,30,Senior,8,Remote,Computer System Services,1000 - 4999,Medium,Employed,Architect,Associate,35-44
United Kingdom of Great Britain and Northern Ireland,102106,39,Senior,7,Hybrid-Flexible,Computer System Services,20 - 99 ,Small,Employed,Architect,Bachelors,45-54 
Brazil,16383,18,Senior,7,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Masters,55-64
Ukraine,2900,8,Mid,9,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Ukraine,3000,11,Mid,8,Remote,Fintech,<20,Small,Employed,Developer,Masters,25-34 
Canada,52530,10,Mid,8,Hybrid-Flexible,Telecomm  Services,5000 - 9999,Large,Employed,Developer,Other,45-54 
United States of America,110000,16,Senior,9,Remote,Telecomm  Services,<20,Small,Employed,Developer,Bachelors,45-54 
United States of America,62000,8,Mid,7,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
"Iran, Islamic Republic of...",22789,7,Mid,4,Remote,Software Development,<20,Small,Self-employed,Developer,Bachelors,25-34 
United States of America,150000,13,Mid,9,Remote,Software Development,10000+,Large,Employed,Manager,Bachelors,35-44
United States of America,200000,32,Senior,5,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Some college,35-44
Sweden,4612,18,Senior,7,Flexible,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
New Zealand,30840,6,Mid,9,In-person,Other,100 - 499,Medium,Employed,Other,Other,18-24
United States of America,90016,8,Mid,8,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Sweden,54507,15,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
United States of America,104000,48,Senior,4,In-person,Telecomm  Services,<20,Small,Employed,Developer,Bachelors,55-64
Ukraine,65000,13,Mid,2,Remote,Fintech,1000 - 4999,Medium,Employed,Developer,Masters,35-44
Ukraine,65907,12,Mid,8,Remote,Banking Services,1000 - 4999,Medium,Employed,Developer,Masters,35-44
United States of America,104000,7,Mid,9,In-person,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
Portugal,63808,25,Senior,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Architect,Masters,35-44
United States of America,450000,40,Senior,8,Hybrid-InPerson,Software Development,10000+,Large,Employed,Other,Professional,45-54 
United States of America,130000,21,Senior,6,Remote,Telecomm  Services,5000 - 9999,Large,Employed,Developer,Masters,35-44
Mexico,42111,13,Mid,8,In-person,Banking Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Ukraine,20132,4,Mid,7,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Portugal,34804,21,Senior,9,Flexible,Healthcare,<20,Small,Self-employed,Developer,Masters,35-44
Ukraine,1246,4,Mid,5,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Ukraine,69609,16,Senior,7,Flexible,Retail Services,500 - 999,Medium,Employed,Developer,Masters,35-44
Ukraine,7190,16,Senior,10,Remote,Retail Services,20 - 99 ,Small,Employed,Developer,Masters,25-34 
Ukraine,23000,5,Mid,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
United States of America,145000,38,Senior,8,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,55-64
Greece,61752,9,Mid,7,Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,35-44
United States of America,69000,6,Mid,8,Hybrid-Flexible,Healthcare,I don’t know,Unknown,Employed,Other,Bachelors,45-54 
United States of America,85000,9,Mid,8,Remote,Manufacturing,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Ukraine,11983,7,Mid,8,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,18-24
Ukraine,5752,35,Senior,10,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,45-54 
United States of America,120000,8,Mid,8,Remote,Higher Education,10000+,Large,Employed,Developer,Bachelors,35-44
Canada,139350,31,Senior,9,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,140000,16,Senior,6,Hybrid-Flexible,Healthcare,20 - 99 ,Small,Employed,Manager,Bachelors,35-44
United States of America,160000,4,Mid,5,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United States of America,400000,10,Mid,10,Hybrid-InPerson,Software Development,10000+,Large,Employed,Data/AI,Professional,25-34 
Brazil,36407,11,Mid,8,Remote,Retail Services,10000+,Large,Employed,Data/AI,Bachelors,25-34 
New Zealand,57262,6,Mid,7,Hybrid-InPerson,Government,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,500000,10,Mid,8,Hybrid-InPerson,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Poland,95515,30,Senior,7,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,45-54 
Ukraine,43139,15,Mid,8,Flexible,Telecomm  Services,500 - 999,Medium,Employed,Developer,Masters,25-34 
Ukraine,51527,6,Mid,6,Remote,Software Development,1000 - 4999,Medium,Self-employed,Developer,Masters,25-34 
United States of America,170000,22,Senior,7,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Brazil,9102,4,Mid,8,Hybrid-Flexible,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,25-34 
United States of America,155000,31,Senior,9,Remote,Insurance,10000+,Large,Employed,Developer,Bachelors,55-64
United States of America,90000,30,Senior,8,Flexible,Manufacturing,1000 - 4999,Medium,Employed,Developer,Some college,45-54 
Germany,87011,13,Mid,7,Hybrid-InPerson,Other,10000+,Large,Employed,Research,Masters,25-34 
United States of America,400000,12,Mid,10,Hybrid-InPerson,Fintech,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
Spain,67289,30,Senior,9,Flexible,Retail Services,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Italy,52207,25,Senior,6,Flexible,Telecomm  Services,<20,Small,Self-employed,Developer,Bachelors,35-44
United States of America,50000,9,Mid,10,Flexible,Other,20 - 99 ,Small,Employed,Developer,Bachelors,18-24
Germany,64040,13,Mid,9,Hybrid-InPerson,Higher Education,5000 - 9999,Large,Employed,Research,Masters,25-34 
Ukraine,3595,8,Mid,9,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,18-24
Croatia,26660,3,Mid,10,Hybrid-Flexible,Computer System Services,500 - 999,Medium,Employed,Cybersecurity ,Masters,25-34 
United States of America,145000,42,Senior,9,Hybrid-InPerson,Insurance,500 - 999,Medium,Employed,Architect,Bachelors,65+
Switzerland,161191,11,Mid,7,Hybrid-InPerson,Government,20 - 99 ,Small,Employed,Developer,Other,35-44
United States of America,280000,53,Senior,10,Remote,Software Development,500 - 999,Medium,Employed,Developer,Bachelors,55-64
Poland,70954,30,Senior,8,Hybrid-Flexible,Energy,10000+,Large,Employed,Developer,Masters,45-54 
Ukraine,81210,8,Mid,10,Remote,Software Development,500 - 999,Medium,Employed,Developer,Masters,25-34 
Canada,105790,38,Senior,8,Hybrid-Flexible,Telecomm  Services,5000 - 9999,Large,Employed,Developer,Bachelors,55-64
Denmark,58320,8,Mid,7,In-person,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Romania,193901,18,Senior,7,Flexible,Higher Education,10000+,Large,Employed,Developer,Some college,25-34 
Brazil,105581,25,Senior,7,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
Slovakia,27844,3,Mid,2,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Portugal,58007,16,Senior,8,Flexible,Supply Chain,100 - 499,Medium,Employed,Developer,Masters,25-34 
Pakistan,1756,9,Mid,9,Hybrid-InPerson,Banking Services,<20,Small,Employed,Developer,Bachelors,35-44
France,69609,12,Mid,0,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Ukraine,36000,5,Mid,9,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
Germany,95132,13,Mid,8,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,25-34 
Ukraine,72,9,Mid,2,Hybrid-Flexible,Software Development,20 - 99 ,Small,Employed,Developer,Associate,18-24
Spain,37125,7,Mid,7,Hybrid-Flexible,Banking Services,10000+,Large,Employed,Developer,Bachelors,18-24
Portugal,34804,11,Mid,8,Hybrid-Flexible,Other,100 - 499,Medium,Employed,Data/AI,Masters,25-34 
United States of America,125000,9,Mid,3,Hybrid-InPerson,Fintech,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,105000,14,Mid,10,Hybrid-InPerson,Other,1000 - 4999,Medium,Employed,Developer,Bachelors,25-34 
Serbia,32020,9,Mid,8,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,190000,19,Senior,5,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Architect,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,40842,59,Senior,5,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,65+
United States of America,130000,5,Mid,6,Remote,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
United States of America,154000,17,Senior,1,Hybrid-Flexible,Government,10000+,Large,Employed,Developer,Bachelors,25-34 
Australia,117017,40,Senior,5,Hybrid-InPerson,Software Development,<20,Small,Employed,Developer,Bachelors,55-64
Russian Federation,72984,8,Mid,10,In-person,Fintech,10000+,Large,Employed,Developer,Bachelors,35-44
Finland,29004,4,Mid,6,In-person,Software Development,<20,Small,Employed,Developer,Other,18-24
United Kingdom of Great Britain and Northern Ireland,61264,25,Senior,7,Remote,Software Development,<20,Small,Employed,Developer,Some college,35-44
Mexico,78959,8,Mid,8,Remote,Other,5000 - 9999,Large,Employed,Developer,Bachelors,25-34 
United States of America,200000,9,Mid,9,Remote,Software Development,10000+,Large,Employed,Data/AI,Some college,25-34 
Brazil,172935,17,Senior,4,Remote,Telecomm  Services,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Germany,133417,22,Senior,10,Hybrid-Flexible,Supply Chain,10000+,Large,Employed,Architect,Masters,35-44
Sweden,78616,41,Senior,7,Hybrid-InPerson,Computer System Services,100 - 499,Medium,Employed,Architect,Masters,55-64
Australia,144321,40,Senior,10,Remote,Software Development,100 - 499,Medium,Employed,Senior executive,Some college,55-64
Italy,38285,13,Mid,6,Remote,Energy,20 - 99 ,Small,Employed,Developer,Masters,25-34 
United States of America,160000,18,Senior,8,Flexible,Software Development,100 - 499,Medium,Employed,Data/AI,Bachelors,25-34 
United States of America,135000,10,Mid,9,Hybrid-InPerson,Manufacturing,1000 - 4999,Medium,Employed,Developer,Masters,25-34 
United States of America,55000,6,Mid,8,Hybrid-InPerson,Other,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,205000,25,Senior,5,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,135000,22,Senior,6,Hybrid-Flexible,Government,20 - 99 ,Small,Employed,Developer,Bachelors,45-54 
Portugal,30164,11,Mid,7,Remote,Banking Services,20 - 99 ,Small,Employed,Data/AI,Bachelors,25-34 
United States of America,230000,24,Senior,7,Remote,Other,10000+,Large,Employed,Architect,Associate,55-64
Poland,65586,5,Mid,6,Flexible,Software Development,10000+,Large,Employed,Developer,Bachelors,18-24
Mexico,14476,15,Mid,3,In-person,Fintech,I don’t know,Unknown,Employed,Developer,Bachelors,25-34 
Ecuador,10000,6,Mid,8,Hybrid-InPerson,Software Development,<20,Small,Self-employed,Developer,Secondary school ,18-24
United States of America,170000,6,Mid,9,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,35-44
Brazil,9175,6,Mid,3,Remote,Software Development,5000 - 9999,Large,Employed,Developer,Some college,18-24
United States of America,180000,17,Senior,3,Hybrid-Flexible,Software Development,1,Small,Self-employed,Developer,Bachelors,35-44
United States of America,182000,26,Senior,3,Hybrid-Flexible,Insurance,5000 - 9999,Large,Employed,Developer,Bachelors,45-54 
South Africa,43299,15,Mid,0,Remote,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,35-44
United Kingdom of Great Britain and Northern Ireland,163370,35,Senior,6,Remote,Telecomm  Services,100 - 499,Medium,Employed,Developer,Bachelors,45-54 
United States of America,150000,7,Mid,8,Remote,Media Services,100 - 499,Medium,Employed,Developer,Masters,25-34 
New Zealand,90353,35,Senior,5,Remote,Energy,100 - 499,Medium,Employed,Data/AI,Bachelors,45-54 
Ukraine,40743,27,Senior,7,Remote,Software Development,20 - 99 ,Small,Self-employed,Developer,Masters,35-44
United States of America,290000,12,Mid,6,In-person,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,92000,15,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
United States of America,200000,34,Senior,9,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,45-54 
Chile,34990,12,Mid,8,Remote,Software Development,10000+,Large,Employed,Developer,Bachelors,25-34 
Brazil,20388,20,Senior,9,Hybrid-Flexible,Government,5000 - 9999,Large,Employed,Developer,Bachelors,35-44
New Zealand,129506,14,Mid,2,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Manager,Bachelors,25-34 
Canada,109438,19,Senior,7,Remote,Software Development,1000 - 4999,Medium,Employed,Developer,Bachelors,35-44
United States of America,120000,20,Senior,7,Hybrid-Flexible,Telecomm  Services,<20,Small,Employed,Founder,Bachelors,45-54 
India,4185,6,Mid,7,In-person,Software Development,<20,Small,Employed,Developer,Bachelors,25-34 
Argentina,46000,5,Mid,8,Remote,Telecomm  Services,1000 - 4999,Medium,Employed,Developer,Bachelors,18-24
United States of America,117500,9,Mid,8,Remote,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Singapore,67487,13,Mid,3,In-person,Manufacturing,10000+,Large,Employed,Developer,Masters,25-34 
United States of America,150000,32,Senior,7,Remote,Software Development,<20,Small,Employed,Developer,Some college,45-54 
United States of America,30000,8,Mid,10,Hybrid-Flexible,Computer System Services,<20,Small,Student,Research,Bachelors,18-24
Pakistan,17558,10,Mid,7,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Masters,35-44
Chile,63618,28,Senior,6,Remote,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
Brazil,28398,8,Mid,10,Remote,Healthcare,500 - 999,Medium,Employed,Data/AI,Bachelors,25-34 
Canada,64933,16,Senior,7,In-person,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,35-44
United States of America,200000,30,Senior,9,Flexible,Telecomm  Services,10000+,Large,Employed,Other,Bachelors,45-54 
Malaysia,21206,13,Mid,8,Hybrid-Flexible,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,170000,25,Senior,7,Remote,Fintech,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
Canada,180000,27,Senior,8,Flexible,Software Development,100 - 499,Medium,Employed,Developer,Masters,35-44
United States of America,70000,5,Mid,6,Hybrid-Flexible,Fintech,10000+,Large,Employed,Developer,Secondary school ,18-24
United States of America,340000,42,Senior,8,Hybrid-InPerson,Other,100 - 499,Medium,Employed,Manager,Professional,45-54 
Canada,109438,15,Mid,9,Remote,Insurance,10000+,Large,Employed,Developer,Bachelors,25-34 
United States of America,200000,17,Senior,2,Remote,Media Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
India,17436,5,Mid,8,Remote,Software Development,1,Small,Self-employed,Developer,Masters,25-34 
Singapore,70301,16,Senior,7,Flexible,Software Development,20 - 99 ,Small,Not employed,Architect,Bachelors,35-44
United States of America,200000,30,Senior,9,Remote,Supply Chain,<20,Small,Employed,Developer,Secondary school ,45-54 
United States of America,175000,7,Mid,7,Remote,Retail Services,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
Australia,74761,15,Mid,7,In-person,Software Development,100 - 499,Medium,Employed,Developer,Bachelors,25-34 
United States of America,170000,30,Senior,8,Remote,Insurance,10000+,Large,Employed,Developer,Bachelors,45-54 
China,16714,5,Mid,5,In-person,Software Development,<20,Small,Employed,Developer,Some college,35-44
India,37662,18,Senior,6,Remote,Banking Services,10000+,Large,Employed,Developer,Bachelors,35-44
Canada,100683,44,Senior,8,Flexible,Software Development,20 - 99 ,Small,Employed,Data/AI,Bachelors,55-64
Uruguay,1357,13,Mid,6,Remote,Other,<20,Small,Employed,Developer,Bachelors,35-44
Philippines,878,9,Mid,5,Hybrid-InPerson,Software Development,20 - 99 ,Small,Employed,Developer,Bachelors,25-34 
